index	lat	lon	salt_order	password	output
1	50.454650	30.511300	little	AbX5AKpD	01.png
2	50.447900	30.512700	little	AbXqAKpF	02.png
3	50.447900	30.512700	little	AbXqAKpF	03.png
4	50.446100	30.518300	little	AbXmAKpN	04.png
5	50.446100	30.518300	little	AbXmAKpN	05.png
6	50.462750	30.481200	little	AbYLAKoZ	06.png
7	50.462300	30.481200	little	AbYKAKoY	07.png
8	50.462300	30.481200	little	AbYKAKoY	08.png
9	50.404700	30.486800	little	AbWKAKog	09.png
10	50.391650	30.496600	little	AbVtAKou	10.png
11	50.456450	30.498700	little	AbX9AKox	11.png
12	50.456000	30.498700	little	AbX8AKox	12.png
13	50.439800	30.515500	little	AbXYAKpJ	13.png
14	50.415500	30.507800	little	AbWiAKo+	14.png
15	50.413250	30.515500	little	AbWdAKpJ	15.png
16	50.324600	30.550500	little	AbTYAKp7	16.png
17	50.324600	30.550500	little	AbTYAKp7	17.png
18	50.404250	30.510600	little	AbWJAKpC	18.png
19	50.452850	30.526000	little	AbX1AKpY	19.png
20	50.433500	30.489600	little	AbXKAKok	20.png
21	50.433500	30.489600	little	AbXKAKok	21.png
22	50.455100	30.400000	little	AbX6AKmk	22.png
23	50.454200	30.400000	little	AbX4AKmk	23.png
24	50.460050	30.365000	little	AbYFAKly	24.png
25	50.508200	30.598800	little	AbZwAKrA	25.png
26	50.454650	30.523200	little	AbX5AKpU	26.png
27	50.382650	30.688400	little	AbVZAKtA	27.png
28	50.489300	30.491700	little	AbZGAKon	28.png
29	50.473100	30.438500	little	AbYiAKnc	29.png
30	50.466800	30.516200	little	AbYUAKpL	30.png
31	50.466800	30.516200	little	AbYUAKpL	31.png
32	50.392550	30.433600	little	AbVvAKnU	32.png
33	50.520800	30.592500	little	AbaMAKq3	33.png
34	50.357000	30.686300	little	AbUgAKs9	34.png
35	50.357000	30.686300	little	AbUgAKs9	35.png
36	50.419550	30.634500	little	AbWrAKrz	36.png
37	50.419550	30.634500	little	AbWrAKrz	37.png
38	50.456450	30.381800	little	AbX9AKmK	38.png
39	50.368250	30.493800	little	AbU5AKoq	39.png
40	50.475350	30.472800	little	AbYnAKoM	40.png
41	50.482550	30.465100	little	AbY3AKoB	41.png
42	50.437550	30.493100	little	AbXTAKop	42.png
43	50.382650	30.458100	little	AbVZAKn3	43.png
44	50.441600	30.519700	little	AbXcAKpP	44.png
45	50.441600	30.519700	little	AbXcAKpP	45.png
46	50.487050	30.460200	little	AbZBAKn6	46.png
47	50.423600	30.446200	little	AbW0AKnm	47.png
48	50.418650	30.486100	little	AbWpAKof	48.png
49	50.434850	30.515500	little	AbXNAKpJ	49.png
50	50.410100	30.404200	little	AbWWAKmq	50.png
51	50.404700	30.654800	little	AbWKAKsQ	51.png
52	50.431700	30.516900	little	AbXGAKpL	52.png
53	50.431700	30.516900	little	AbXGAKpL	53.png
54	50.465450	30.332800	little	AbYRAKlE	54.png
55	50.474000	30.481900	little	AbYkAKoZ	55.png
56	50.437550	30.493100	little	AbXTAKop	56.png
57	50.441150	30.369200	little	AbXbAKl4	57.png
58	50.439800	30.369200	little	AbXYAKl4	58.png
59	50.383100	30.490300	little	AbVaAKol	59.png
60	50.455550	30.628900	little	AbX7AKrr	60.png
61	50.462300	30.589000	little	AbYKAKqy	61.png
62	50.426750	30.458800	little	AbW6AKn4	62.png
63	50.426750	30.458800	little	AbW6AKn4	63.png
64	50.455100	30.511300	little	AbX6AKpD	64.png
65	50.455100	30.511300	little	AbX6AKpD	65.png
66	50.454200	30.511300	little	AbX4AKpD	66.png
67	50.454200	30.511300	little	AbX4AKpD	67.png
68	50.454200	30.511300	little	AbX4AKpD	68.png
69	50.454200	30.511300	little	AbX4AKpD	69.png
70	50.452850	30.509200	little	AbX1AKpA	70.png
71	50.452850	30.509900	little	AbX1AKpB	71.png
72	50.451950	30.508500	little	AbXzAKo/	72.png
73	50.451950	30.508500	little	AbXzAKo/	73.png
74	50.452400	30.508500	little	AbX0AKo/	74.png
75	50.450150	30.502900	little	AbXvAKo3	75.png
76	50.450150	30.502900	little	AbXvAKo3	76.png
77	50.450150	30.502900	little	AbXvAKo3	77.png
78	50.450150	30.502900	little	AbXvAKo3	78.png
79	50.450150	30.502900	little	AbXvAKo3	79.png
80	50.450150	30.502900	little	AbXvAKo3	80.png
81	50.450150	30.502900	little	AbXvAKo3	81.png
82	50.450150	30.502900	little	AbXvAKo3	82.png
83	50.450150	30.502900	little	AbXvAKo3	83.png
84	50.448800	30.498700	little	AbXsAKox	84.png
85	50.448350	30.498700	little	AbXrAKox	85.png
86	50.448800	30.498000	little	AbXrAKow	86.png
87	50.448800	30.498000	little	AbXsAKow	87.png
88	50.448800	30.498000	little	AbXsAKow	88.png
89	50.447450	30.495900	little	AbXpAKot	89.png
90	50.447900	30.495900	little	AbXqAKot	90.png
91	50.447900	30.495900	little	AbXqAKot	91.png
92	50.447450	30.494500	little	AbXpAKor	92.png
93	50.447000	30.494500	little	AbXoAKor	93.png
94	50.453750	30.526000	little	AbX3AKpY	94.png
95	50.446550	30.512000	little	AbXnAKpE	95.png
96	50.446550	30.512000	little	AbXnAKpE	96.png
97	50.452400	30.526700	little	AbX0AKpZ	97.png
98	50.452400	30.526700	little	AbX0AKpZ	98.png
99	50.452400	30.526700	little	AbX0AKpZ	99.png
100	50.437100	30.645700	little	AbXSAKsD	100.png
101	50.437550	30.646400	little	AbXTAKsE	101.png
102	50.420450	30.486100	little	AbWtAKof	102.png
103	50.421350	30.482600	little	AbWvAKoa	103.png
104	50.421350	30.482600	little	AbWvAKoa	104.png
105	50.423600	30.474200	little	AbW0AKoO	105.png
106	50.464550	30.516200	little	AbYPAKpK	106.png
107	50.439350	30.612800	little	AbXXAKrU	107.png
108	50.439350	30.612800	little	AbXXAKrU	108.png
109	50.429450	30.618400	little	AbXBAKrc	109.png
110	50.429900	30.618400	little	AbXBAKrc	110.png
111	50.438900	30.485400	little	AbXWAKoe	111.png
